
Boahji	pole-star
beagašit	crawl hither and tither on all fours
beahcebáhcat	pine-cone
beahci	Pinus silvestris (pine)
beahkilit	crawl hastily on all fours; crawl away on all fours
beahkáladdat	crawl away on all fours (of several subj.)
beahttit	stir with a stirring-stick
beahttu	each of the little sticks which children used in former days for playing a game similar to twelve stones
beahttálas	apt to deceive or make a fool of
beahtu	monster
beaika	beech (the wood of)
beaitu	drain under aperture in wall of cow-house
beaivet	in the day-time; sometime to-day (not the morning or evening)
beaivi	day; sun
beaivvis	day's journey
beaivvádahttit	become sunny
beaivvádat	sunshine
beaivváiduvvat	get plenty of time; get well off
beaivváš	sun
beakkihit	suddenly bægˈget
beakkohit	tell as hearsay
beakkuhit	several times ask for; tell several times in all seriousness
bealaštit	make up the difference in bartering
bealistit	knit a new inside for worn-out mittens
bealki	one who scolds
bealkkahallat	be sworn at (= belˈkut)
bealkkildit	scold (a little) constantly
beallemas	flax
beallji	ear
bealljái	big-eared
beana	dog
bearal	pearl
bearbbil	a bear's eating-place
bearbma	cover
bearjadat	Friday
bearjjastit	put up a smoke-screen on
bearpmet	each of the short logs which are laid on the earth floor to mark off the different parts of a tent or old-fashioned hut
bearri	disease which is hereditary in the family
bearttuš	trap between two trees for catching a wild reindeer
beaskidit	cut hair or wool off
beassanvuohta	access (only in relig. language)
beassegatna	lichen which grows on birch bark
beasseheapme	with little bark on (birch-tree)
beassáš-	Easter
beassážat	(pl.) Easter
beastilit	subit. of bæsˈtet
beatnatgielddát	a species of Lycopodium
beatnatjokŋa	berry of Cornus suecica
beatnatmuorji	berry of Cornus suecica (= bǣdnâg-jogŋâ)
beatnatrávra	species of large grass to whose leaves dogs are very partial
beavddehas	one who constantly sits at the table (disapprovingly of children and Mountain Lapps)
beavdelii	(going) nearer to the table (also used in direct comparisons)
beavdi	table
beavki	apt to bæwˈket (= bæwˈkalâs)
beavkkuhit	caus. of bæwˈkot
beavkálas	apt to bæwˈket
beavrruhit	walk on his legs
beavránit	walk off on his long legs
beavvi	good friend
beazeheapme	with little pine (of forest or open country)
beađadit	contin. of bǣđđât
beađbi	shoulder-blade
beađđi	breast of a bird (flesh and bone)
beađŋŋis	the place for the foot on a ski
beaŋká	shelving bottom of river or lake
beaškkehit	(ei LpDict)
behkeš	the large protruding anklebone
behtostit	throw (once) a stick (in a game)
behttosat	tipcat
belket	cut a log flat on two sides with an axe; saw slabs off a log
belkot	be sworn at
belohahkii	half
beloštus	defence (in words)
benne	little male dog
benne	penni (Finnish piece of money)
bentet	straighten (something which stands or hangs crooked)
berret	prick up the ears (to listen)
besko	strong counter current in a river
bessodat	band or thong of twisted withe or birch-branch
beste	earnest-money
beđo	the portion of the gable wall of a wooden house which is higher than the main wall
beškkoš	Hirundo urbica (house-martin)
beštor	Hirundo (swallow); Motacilla alba (wagtail)
biddjet	buy at an auction
biddjot	shorter passive of biggjât
biddut	get a great deal of bidˈde (of a tree)
bidjalandoarvi	the amount which can be put in at a time (e. g. the amount of milk a milk-pan will hold)
bidjalannárri	the amount which can be put in at a time (= biggjâlâm-doarˈve)
bidjet	auction
bieggagaccat	small clouds before storm
biehkan	Buteo lagopus (rough-legged buzzard)
biehkanit	become red and sweating with exertion
biehtarasdilljá	top vertebra of neck
biehtárguhkká	Achillea millefolium (yarrow)
biehtárrássi	Achillea millefolium (yarrow)
biekkadit	blow a little continuously (wind)
bielka	loft-beam (inserted in the wall)
biellohas	the animal in a herd which has a bell (= bielˈlan)
biellorássi	Campanula (harebell)
biellán	the animal in a herd which has a bell
biepmohas	one who is supported by someone else
bierdna	bear
bierffagit	become bierfâs
bierta	reindeer stomach full of reindeer suet (this suet is boiled with lean reindeer meat in spring)
biertnástallat	play at bear(-cub)s
bieskán	inhabitant of Bieskĕnjarˈgâ
biesttihit	caus. of biesˈtet
bievval	executioner
bieđan	idiot
bieđat	idiot (= bieđân)
bieđut	idiot (= bieđân)
bieđđalas	who is often bewildered; too hospitable
bigget	build (a house)
bigodit	contin. of biekkot
bigán	very quick-tempered
bihcebáhce	pine-cone
bihceguolga	reindeer with a coat that looks frosty because the tips of the hairs are of a lighter shade here and there
bihci	rime (frost)
bihcir	insufficiently ripe little berry
bihcut	get covered with rime
bihkahuvvat	be soiled with tar
bihkka	tar
bihkoladdat	whine and complain several times
bihkolas	apt to whine and complain
bihli	the top of the front of a kjerris
bihpar	pepper
bihtalit	be able to go on withstanding (several persons or one sev. times)
biibbal	Bible
biigot	be (someone's) maidservant
biinnidit	torture
biippostallat	have a smoke
biipu	(tobacco) pipe
biire	reindeer pasturing district
bijadit	contin. of biggjât
bijahas	as much hay as one hangs on the drying-fence all at once
bijat	a spell which is put on someone
biksa	breastbone of a bird
biktalit	warm oneself
biktil	which keeps one (very) warm (of clothes)
biktit	warm (subj.: clothes)
bikši	one who has his shoulders thrown back (only of persons)
bikšáhit	walk like a bikˈše
bikšái	with the shoulders thrown back (only of persons)
bilaidit	twinkle (of stars)
bildadit	put something on a bilˈdâ
bilgá	double hank of bladder sedge
biljas	who has large prominent eyes
bilke	proper name for a bitch
bilku	mockery
billji	one who has large prominent eyes
billu	pudenda of woman
biltu	a shy or wild one (usually of female reindeer; sometimes of girls)
bindá	fat (on living animals)
biras	(attr. adj.) surrounding
birccas	who (which) walks on the outer edge of the foot
birccustit	write quickly (boastful expression)
bircut	walk (somewhere) as a birˈce
bircut	with the foot in such a position that one walks on the outer edge of it
birgehit	get to manage
birobaika	asafoetida
birrabotnjalus	conversion (relig.)
birrageavlái	round in a ring
birračuohpahus	circumcision (relig.)
birračuohppat	circumcise (relig.)
birračuoigi	person who goes round the herd on ski to look for tracks (sc. of wolves or of reindeer which have deserted the herd)
biršalit	strike once in anger (when fighting)
bisma	bishop
bismmáčoahkkin	bishop's visitation
bismárra	steelyard
bispa	bishop (= bisˈmâ)
bissehávka	a species of hawk
bissilit	steadily (= bisˈsolit)
bissul	steady
bissulit	steadily
bisttašit	last a considerable time
bisttihit	caus. of bisˈtet
bittus	bitch with all the feet white from the knee downward
bivaheapme	sensitive to cold
bivastat	sweat (s.)
bivdaruššat	act as a hunter or fisherman
bivddestit	diminutive of biwˈdet in its proper dimin. sense
bivdduhit	try to get something (difficult to obtain) from someone
bivgi	barley
bivnnut	well liked by everybody
bivttaseaddjái	well provided with clothes
bivuheapme	without clothes; sensitive to cold
bivuhuvvat	get in the condition of having no more clothes; become sensitive to cold
bivvu	sufficient clothing to stand the cold (also of the necessary minimum of bed-clothes)
bivvát	get warm (after being cold)
bivššut	one who is in a position with the head thrown back
biđihit	caus. of bittet
biđihit	caus. of biđđet
biđistit	dimin. of biđđet
biđuhit	treat someone to dainties or otherwise show attentions to him in order to win him over
biŋal	hard wood on the under side of a crooked-crowing pine-tree
biškoladdat	scream or crow loudly several times
biššanbáddi	each of the strings by wich the tent-cloth is fastened
bižus	Charadrius pluvialis (golden plover)
bleahkahuvvat	be stained with ink
bleahkka	ink
bleahkka	tin
bliánta	pencil
blokka	(pulley) block
bláđđi	page (of book); newspaper
boaccastit	make a cut or notch; pinch off (an unripe cloudberry)
boadju	sucker of deciduous tree
boadnjá	husband
boaggi	one who is bowlegged
boagguladdat	energetically break or lift up at the edge several times
boagguladdat	start off on their bent legs (of several subj. separately)
boaggulit	hastily break or lift up at the edge
boaggut	(with some instrument) break or lift up at the edge (e. g. a lid)
boaggut	in bent state (of the legs)
boaggái	bowlegged
boagán	belt
boahkas	half-dry (of fish)
boahkku	smallpox; sore or scar caused by vaccination; (in plur.) vaccine
boahtilastit	come a little nearer a moment
boahttil	good at coming home early in the evening (of domestic animals)
boahtálas	who keeps on coming (especially of people who hang about the farm)
boaimmáš	Buteo lagopus (rough-legged buzzard)
boakkas	bowlegged
boakkil	(constantly) bent (of the legs)
boakkostit	break or lift up at the edge once
boakkostit	go a little on his bent legs
boalbaladdat	several times (or several obj.) energetically fasten a cord or rope by tucking in the end of it
boalbasuddat	speak indistinctly
boalbbadit	contin. of boalˈbât
boalbut	(ei LpDict)
boalddehahttit	(perhaps unintentionally) make someone burn up something
boalddádat	hot sun
boalddáhat	smarting pain
boaldevaš	burning (also fig.)
boalggahit	cause someone to be ill spoken of or more coldly treated
boalggahuhttit	cause someone to be ill spoken of or more coldly treated (= boalgâtit)
boallobahta	an opprobrious term of a Norwegian (because he has so many buttons on his clothes) or of a Lapp who has put on Norwegian dress
boallodákti	one of the čæwˈǯe-bones of a reindeer
boallooaivi	Trollius europaeus (globe-flower) (= boallŏ-rasse)
boallorássi	Trollius europaeus (globe-flower)
boalsttar	pillow
boaluhit	button; fasten together; fish for salmon (in a river) with two or more drift-nets fastened together
boalvár	a trader on the Finnish side; a clandestine or contraband trader (in spirits); a trader (in general sense); a guest of rather high rank at a fair
boalččihit	step awkwardly and be ricked or sprained (subj. the foot)
boalččihit	suddenly appear (of a bald-headed person)
boalččil	(pred. adv.) bald-headed
boalččuhit	go waddling along
boanda	well-to-do (= boanˈdai)
boanddaiduvvat	become well-to-do
boandut	become well-to-do
boandái	well-to-do
boaran	an old one
boaris	old; old man
boarstu	(ei LpDict)
boaru	Tabanidae (horse-fly); Oestridae (gad-fly)
boassa	mouse's nest
boatkanaddat	freq. of boaŧˈkânit
boatkkuhit	caus. of boaŧˈkot
boatnje	one who is a fine fellow (eulogistic)
boatnjáš	little husband
boazu	(tame) reindeer
boazuiduvvat	become rich in reindeer
boađa	the place where one may be expected to come; chance of coming; being about to come soon
boađestit	dimin. of boattet
boaššut	which is nearer to the boašˈšo
boccaheapme	which has lost the large feathers
boccahuvvat	lose the large feathers
boggáhit	caus. of bogˈgat
bogostat	someone or something that is laughed at
bohccostallat	play at being reindeer
bohccosuoidni	species of grass with hollow flower-stalk
bohkasit	be able to be bored
bohkkonguolli	half-dry fish (= boakˈkĕ-guolle)
bohkká	he-goat; trestle in enclosure for netting salmon
bohkosit	burst out laughing
bohrra	cloud of dust or ashes; severe scolding
bohtal	bottle
bohttehit	cause something to become swollen
bohčáladdat	bâččet often and eagerly
boibmoladdat	vigorously pick now and then
boija	buoy (for boat or line)
boimmodit	contin. of boaiˈbmot
boimmohat	place where somethg. has been picked or eaten
boimmon	one who is apt to boaiˈbmot
bojá	one who is a very fine fellow
bokkas	short and fat
boksa	tin (for tinned goods)
bolas	(ei LpDict)
bolastit	(ei LpDict)
bolbbodit	contin. of boalˈbot
bolffagit	become bolfâs
bolfi	one who looks very large; one who is in the habit of sulking
bolgen	treadle of spinning-wheel and loom
bollui	with many round depressions (of ground)
bolsttar	mattress; (only in plur.) big bulky clouds
boltot	become swollen or red through being frozen (of face or hands)
bolttastit	dimin. corresponding to bolˈtot
bolttodit	contin. of bolˈtot
bolttuhit	caus. of bolˈtot
bonjastit	dimin. of bodnjât
bonjit	knotty
boragas	monster (chiefly used in comparisons)
borahahttit	(perhaps unintentionally) cause someone to be bitten
borahahttit	caus. of borâtit
boranoaidi	sorcerer who is a danger to people
bordebáhkka	three-pronged implement (of wood) for supporting a boat
boret	bore in stone or metal
borešvuohta	gluttony (relig.)
borgalit	subit. of borˈgât (only trans.)
borget	be (turn to) driving snow
borggadit	contin. of borˈgât
borggas	adjective denoting weather etc. in which snow blows in clouds
borggas	which has changed its hairs (or coat); (skin) of reindeer which has changed its hair (or coat)
borggat	(komp. adj.)
borggiidit	be (turn to) driving snow (= borˈgit)
borgit	smoke (intr.); be doing somethg. in the water which makes it splash all round one
borgát	begin to smoke
borjjas	sail
borjjastallat	be sailing or navigating; be flapping in the wind
borjánit	sail away
borramuš	food
borri	a mountain formation
borri	edge
borrot	shorter passive of borrât
borsehtet	spray-board on gunwale of boat
borsháhkka	boat-hook
borstohpu	servants' living-room
bortnis	the part of a knife or other tool which fits into the handle
borus	something to eat
boršu	eddy (white) in rapids
boršui	full of eddies
boska	Archangelica
bosodit	contin. of bossot
bossu	a small kind of whale (smaller than fāles)
bossučolga	jelly-fish
bossái	who is often cross
bosttahit	possess
bosádit	suddenly blow (up); suddenly blow out (put up)
botehtos	potato
botkalit	strew once (e. g. of strewing salt on fish)
botkkiidit	begin to shed the hair; begin to shed the seeds (of willow)
botkkodit	break off at several places; break loose (of several reindeer); (impers.) open up in several places
botká	in the condition in which the hair comes out or is easily rubbed off
botnit	a kind of flat-fish
botnit	which is nearer the bottom
botnjalit	hastily bodnjât
botnjalus	conversion (relig.)
botnus	sediment
bovccis	winding creek in a river (where an island is formed when the river is in flood)
bovttašit	wake (several) cautiously
bođastit	get brash-ice on the bottom in autumn (subj.: river)
bođus	small separate piece of carcase; ice-floes floating separately (collectively)
bođđui	full of rocks (of sea or lake)
boŋkor	long-haired pesk (made of skin of reindeer calf killed in winter)
boššohat	slaughtering place behind the tent
breahtta	(presentation) tray
brillat	(pl.) spectacles
bubme	weaver's beam
buddestat	cloth edging sewn on to clothes
buddet	put sinkers on seine or other fishing net
buddet	sew edging on clothes; heal up at the edges (of a wound); show the beginnings of new antlers
buddi	bismer pound (6 kilos)
buddostat	one whom people call by nicknames
buddu	ordinary sinkers on seine or other fishing net
buddáduvvat	get into debt (chiefly said in joke)
buhtistit	cleanse; make altogether without
buhtásmit	get clean or cleaner (= buttasmuvvât)
buhtásmuvvat	get clean or cleaner
buhčat	make something (too) thin (tapering) at the end
buiddodit	contin. of buoiˈdot
buimman	slowcoach
buippihit	(ei LpDict)
bulddagit	become buldâs
bulde-	in compounds: one who is fat and puffy in the face (= buldŏ in compounds)
buldugas	Corvus corax (raven)
buldán	Corvus corax (raven) (= bulˈdogâs)
bulet	(wooden) keg
buljardit	bubble; speak indistinctly
buljihit	suddenly stick out or be gouged out
bulkor	draught-sledge (especially for manure) built like a raidekjerris
bulle	uncastrated bull
bulli	large swelling (concrete)
bulljarakkis	bubble
bulljaras	bubble (= bulˈljârâgges)
bullá	a mouthful of masticated food for a child
bullá	ball of suet with fox-poison in it
bulčat	just be able to produce
bummol	cotton
bumpaloddi	Asio accipitrinus (short-eared owl)
bunccas	small and thin (e. g. of a little boy); which has somethg. sticking out in one place (e. g. a swelling or beginning of a branch)
bunjodit	contin. of buodnjot
bunjostat	a single dip
bunágorvvá	name of a cow with red ears
bunčalit	throw somethg. into the water with a splash
bunččihit	suddenly fall or jump into the water with a splash
buohccivuohta	ill-health
buohcuvuohta	sickness (in contrast to health)
buohča	penis of man or horse
buoibmat	fasten the boards on to the front of a kjerris
buoiddat	a fat one (person or animal)
buoiddehisvuohta	lack of fat or suet (e.g. for putting in sausages)
buoidi	fat; rich (of soil)
buoidivuohta	fatness
buoidut	become fat or fatter
buoimmastit	fasten the boards on to the front of a kjerris (= buoiˈbmât)
buokŋa	breast of a bird
buolaš	frost
buolbmágaš	someone from Polmak
buolestit	dimin. of buollet in proper dimin. sense
buolla	good reason for saying somethg.; courage and capacity to bite (fig.) or work
buollahat	wood for kindling fire with
buoloheapme	which burns badly (both of the thing and of the fire)
buolohuvvat	become bad or less good for burning (intr.)
buolva	generation
buolvadat	generation
buonjostahttit	caus. of buonjŏstit
buorggos	prohibited
buorránaddat	freq. of buorranit
buorránastit	become a little better
buorádahttit	get fine (weather)
buorádat	fine weather
buorástahttit	greet
buoska	fart; little pig
buoskkas	farting
buoskut	fart
buoskáruššat	play the quack
buotnjuladdat	dip properly several times
buotnjulit	subit. of buodnjot
buotnjumuš	having to dip
buotveagalaš	almighty
buovnnjagit	become scorched
buovnnjat	a kind of mouse
buozadit	be ill constantly or long; be ailing
buozaheaddji	one who looks after an invalid
buozan	one who is constantly ill (often said impatiently)
buođđu	dam (usually of peat); enclosure for netting salmon
buošit	angrily (of women)
buošášit	regard as buošše
buoššodus	the part of a steel implement which has been tempered
buoššudit	cause to become buošše; harden (relig.)
buoža	penis of man or horse
buressivdnidit	bless
burgilit	rummage hastily in
burgot	shorter passive of burˈget
burgálas	apt to rummage in
burru	young bull
burrut	young bull (= burˈro)
burskit	laugh involuntarily
burskkihit	burst out laughing involuntarily
burššas	fat and puffy (and usually red) in the face
busadit	contin. of bussât
busahit	caus. of bussât
busan	a slow one
busas	busâk as predicative adjective
busat	one who has large testicles
busdomá	the anus part of a fish
busegáhttu	cat
busket	fart once
buskolas	apt to fart
bussá	cat
butnjoladdat	dip properly several times
buvda	shop
buvku	Norwegian or Finnish sheath-knife (smaller than ordinary Lapp knife)
buvri	primitive shanty of wood or peat for storing fish or other commodities which are not meant to dry
buvru	porridge
buvttašit	dimin.-contin. and dimin.-freq. of bukˈtet
buvvedat	Aegialitis hiaticula (kind of plover)
buđis	the smaller branch of a river which divides into two branches for a short distance
buđodit	contin. of buođđot
buđohat	place where the stream is dammed up
buđđá	testicle (= balˈlo)
buškkas	too long and narrow (esp. a boat or kjerris)
bušti	(disparaging) term for a man in a jacket (e. g. a Norwegian)
buštit	beat; give corporal punishment
bušttašit	dimin.-contin. of bušˈtet
bužistit	make a pointed tangle in net for small fish
báddadit	cause to swell
báddebahá	difficult to lead when tied (of animals)
báddelodji	easy to lead when tied (of animals)
báddádallat	accustom animals to be tied up; lasso a reindeer
bádjat	dare to join
bádjálastit	repeat the same words continually
bádnái	with big or good teeth
báffa	roar (of waterfall); loud talk
báffat	roar (waterfall); talk very loudly and noisily
bággu	(ei LpDict)
bággu	compulsion
báhcat	pine cone
báhcigassii	of such a quantity that something is left over
báhcálas	apt to stay behind
báhkin	heathen
báhkkanaddat	become hot several times (or of several objects); become nervous
báhkket	bake
báhkkon	commandment (relig.)
báhpaskuvla	preparation for confirmation
báhrralas	liable to bāhrrât
báhtarahttit	caus. of bāttârit
báhtareaddji	refugee
báhtte	spavin (disease of horse's joints)
báhtui	(coming) in flight
báhčilit	subit. of baččet
báhčinneavvut	shooting gear
báhčinviđá	just shot (of game)
báhčálas	inclined to shoot
báhčámuš	having to shoot; which one can shoot
báhččot	be shot; be stung or bitten
báibmat	keep on repeating (words or expressions)
báidnejaš	nightmare
báidnu	ready-mixed paint
báikebiergasat	everything belonging to a tent
báikkeisit	master of the house
báikkiid	about
báikkáiduvvat	put (things) in order somewhere
báikut	tear up a little reindeer moss here and there to mark one's territory
báinnestit	dimin. form of baiˈdnet with true dimin. meaning
báinnistit	ironically used dimin. of baiˈdnet
báiski	Larus canus (herring-gull)
báissas	swollen
báiste	frying-pan
báitevaš	shining
báitil	good in an adverse wind
báittašit	shine feebly; warm a little at the fire
bájahit	caus. of bāggjât
bájas-	materials for the front upper part (âldâs) and back upper part (ruojâs) of a Lapp brogue
bákŋat	jump
bákša	malodorous gland in hind parts of ermine
bálašit	bellow a little (continuously)
bálda	the place beside someone or something (generally as last part of compound)
bálddastahttit	walk abreast of
bálddis	Hippoglossus vulgaris (halibut)
bálggahat	place where the reindeer have been during the summer and trampled the ground
bálggádat	the kind of weather (with heat and gnats) that makes reindeer or cows dodge about
bálgáheapme	with very few paths
báljildit	go with a bald head
bálkestahttit	get to throw; throw oneself
bálkkastit	throw a little
bálkut	throw (far); throw several things or several times
bállas	roundish (and so difficult to keep firm and tight in its place; of pack-load)
bállasit	so that the pack-load becomes round-shaped
bállat	something one can use to throw at something
bállir	roundish (and so difficult to keep firm and tight in its place; of pack-load) (= bāllâs)
bállit	bellow
bálloheapme	destitute (indecent expression for a man)
bállálas	apt to bellow
báltudit	caus. of balˈtot
bálvá	servant; bridesmaid or groomsman
báládit	bellow suddenly
bánis	material for making tooth of rake
bánne	that fine fellow; my boy (in addressing a person)
bánálaš	one who has good teeth
bánži	(one who is) red and puffy-faced
bánžžagit	become red and puffy-faced
bánžžas	with a red and puffy face
bánžžistit	perspire so that the sweat drips from one (of one who is red and puffy-faced)
bárdit	shorten or strengthen a rope etc. by taking one or more turns round something or by doubling the rope; twist to make a snare for small birds; twist too tight; shake (the head)
bárdnat	have children
bárdnivuohta	bachelor days
bárdáladdat	vigorously and zealously barˈdet
bárehuoš	half-grown-up boy
bárel	iron stand for fire used when spearing fish
bárggeš	long plaited lace at the extreme end of the vuoddâ
bárggon	child who continually cries
bárggádaddat	freq. of bargadit
bárgidit	plait (with three threads or three strands)
bárgádaddat	freq. of barˈgedit
bárjidit	scold violently
bárket	tan
bárrahaš	the best (ironical)
bártnehuoš	poor boy
bártnálaš	filial; still obedient to parents (of a big boy)
bárut	in an exposed situation (place)
bárvi	woman's Lapp coat as formerly worn
bárššas	red and puffy (of face or hands)
báska	little boat used on lakes or sea
básmá	a section of 3 threads in the warp of a loom
báson	trumpet
